Music,Private Room,Music Played,Mood,Music Genre
CB,Room1,yes,Sad,2
H0,Room1,yes,Sad,H0
RM,Room1,yes,Sad,3
S1,Room1,yes,Happy,S1
NO,Room1,yes,Happy,3
WT,Room1,yes,Neutral,1
GR,Room1,yes,Neutral,2
NN,Room1,yes,Happy,1
MC,Room1,yes,Neutral,2
AI,Room1,yes,Sad,3
WE,Room1,yes,Happy,2
AV,Room1,yes,Neutral,2
S1,Room1,yes,Neutral,S1
CO,Room1,yes,Neutral,2
H0,Room1,yes,Happy,H0
LO,Room1,yes,Sad,3
PW,Room1,yes,Neutral,1
AI,Room1,yes,Sad,3
H0,Room1,yes,Neutral,H0
BZ,Room1,yes,Happy,3
BZ,Room1,yes,Happy,3
H0,Room1,yes,Sad,H0
CG,Room1,yes,Sad,2
RO,Room1,yes,Neutral,3
WT,Room1,yes,Neutral,1
PW,Room1,yes,Happy,1
LB,Room1,yes,Sad,1
S1,Room1,yes,Happy,S1
H0,Room1,yes,Sad,H0
ME,Room1,yes,Happy,1
BU,Room1,yes,Neutral,3
H0,Room1,yes,Sad,H0
BT,Room1,yes,Happy,1
RG,Room1,yes,Neutral,2
S1,Room1,yes,Neutral,S1
H0,Room1,yes,Happy,H0
AR,Room1,yes,Sad,2
PW,Room1,yes,Neutral,1
EG,Room1,yes,Neutral,3
S1,Room1,yes,Sad,S1
PW,Room1,yes,Happy,1
BZ,Room1,yes,Happy,3
MA,Room1,yes,Happy,3
BL,Room1,yes,Happy,3
PO,Room1,yes,Sad,3
RM,Room1,yes,Happy,3
WT,Room1,yes,Happy,1
WB,Room1,yes,Happy,3
NO,Room1,yes,Happy,3
RG,Room1,yes,Sad,2
LI,Room1,yes,Sad,1
GM,Room1,yes,Neutral,2
BZ,Room1,yes,Sad,3
CH,Room1,yes,Happy,3
RG,Room1,yes,Happy,2
PW,Room1,yes,Neutral,1
PO,Room1,yes,Sad,3
DA,Room1,yes,Neutral,3
AI,Room1,yes,Happy,3
BE,Room1,yes,Sad,3
RG,Room1,yes,Neutral,2
ED,Room1,yes,Happy,1
AI,Room1,yes,Happy,3
LB,Room1,yes,Sad,1
LB,Room1,yes,Happy,1
S1,Room1,yes,Happy,S1
BT,Room1,yes,Sad,1
BT,Room1,yes,Sad,1
H0,Room1,yes,Neutral,H0
PW,Room1,yes,Happy,1
GA,Room1,yes,Sad,2
CN,Room1,yes,Sad,2
MC,Room1,yes,Sad,2
S1,Room1,yes,Sad,S1
DU,Room1,yes,Sad,3
RG,Room1,yes,Neutral,2
LI,Room1,yes,Happy,1
H0,Room1,yes,Sad,H0
SC,Room1,yes,Happy,2
ME,Room1,yes,Happy,1
LI,Room1,yes,Happy,1
CN,Room1,yes,Happy,2
ME,Room1,yes,Neutral,1
RG,Room1,yes,Neutral,2
RG,Room1,yes,Neutral,2
BT,Room1,yes,Happy,1
LB,Room1,yes,Sad,1
IN,Room1,yes,Sad,3
S1,Room1,yes,Happy,S1
BT,Room1,yes,Happy,1
SC,Room1,yes,Sad,2
BL,Room1,yes,Happy,3
H0,Room1,yes,Happy,H0
AI,Room1,yes,Sad,3
ME,Room1,yes,Neutral,1
WA,Room1,yes,Neutral,3
LB,Room1,yes,Happy,1
RS,Room1,yes,Sad,3
LB,Room1,yes,Happy,1
H0,Room1,yes,Happy,H0
PO,Room1,yes,Neutral,3
RG,Room1,yes,Sad,2
LG,Room1,yes,Neutral,3
RO,Room1,yes,Happy,3
PW,Room1,yes,Happy,1
LB,Room1,yes,Happy,1
S1,Room1,yes,Sad,S1
TO,Room1,yes,Neutral,2
LG,Room1,yes,Sad,3
H0,Room1,yes,Happy,H0
CH,Room1,yes,Sad,3
PW,Room1,yes,Happy,1
S1,Room1,yes,Sad,S1
S1,Room1,yes,Sad,S1
RS,Room1,yes,Sad,3
CH,Room1,yes,Neutral,3
ME,Room1,yes,Neutral,1
WA,Room1,yes,Sad,3
BL,Room1,yes,Neutral,3
ME,Room1,yes,Sad,1
RG,Room1,yes,Sad,2
S1,Room1,yes,Neutral,S1
MT,Room1,yes,Sad,3
CH,Room1,yes,Sad,3
IN,Room1,yes,Sad,3
S1,Room1,yes,Happy,S1
NN,Room1,yes,Neutral,1
BE,Room1,yes,Sad,3
OR,Room1,yes,Happy,3
LB,Room1,yes,Sad,1
H0,Room1,yes,Happy,H0
CH,Room1,yes,Neutral,3
MT,Room1,yes,Sad,3
AR,Room1,yes,Happy,2
H0,Room1,yes,Sad,H0
BU,Room1,yes,Neutral,3
BT,Room1,yes,Sad,1
NP,Room1,yes,Sad,2
LG,Room1,yes,Happy,3
CG,Room1,yes,Happy,2
WT,Room1,yes,Happy,1
GR,Room1,yes,Neutral,2
PO,Room1,yes,Happy,3
BT,Room1,yes,Neutral,1
LB,Room1,yes,Sad,1
LG,Room1,yes,Sad,3
ME,Room1,yes,Sad,1
H0,Room1,yes,Happy,H0
H0,Room1,yes,Neutral,H0
H0,Room1,yes,Neutral,H0
H0,Room1,yes,Happy,H0
H0,Room1,yes,Happy,H0
WA,Room1,yes,Happy,3
H0,Room1,yes,Happy,H0
WB,Room1,yes,Neutral,3
ME,Room1,yes,Happy,1
LI,Room1,yes,Sad,1
IN,Room1,yes,Sad,3
PW,Room1,yes,Happy,1
MT,Room1,yes,Sad,3
CG,Room1,yes,Sad,2
H0,Room1,yes,Sad,H0
RO,Room1,yes,Happy,3
H0,Room1,yes,Happy,H0
LI,Room1,yes,Happy,1
H0,Room1,yes,Sad,H0
S1,Room1,yes,Sad,S1
BL,Room1,yes,Happy,3
AI,Room1,yes,Sad,3
UP,Room1,yes,Sad,1
S1,Room1,yes,Sad,S1
PW,Room1,yes,Sad,1
AR,Room1,yes,Neutral,2
AV,Room1,yes,Sad,2
BL,Room1,yes,Happy,3
NN,Room1,yes,Happy,1
ME,Room1,yes,Happy,1
IN,Room1,yes,Happy,3
LI,Room1,yes,Happy,1
S1,Room1,yes,Happy,S1
PW,Room1,yes,Happy,1
TO,Room1,yes,Happy,2
GA,Room1,yes,Happy,2
H0,Room1,yes,Sad,H0
BZ,Room1,yes,Happy,3
LI,Room1,yes,Happy,1
CG,Room1,yes,Sad,2
ME,Room1,yes,Neutral,1
LB,Room1,yes,Sad,1
GR,Room1,yes,Neutral,2
BL,Room1,yes,Happy,3
S1,Room1,yes,Happy,S1
S1,Room1,yes,Neutral,S1
AV,Room1,yes,Sad,2
CH,Room1,yes,Neutral,3
LB,Room1,yes,Happy,1
WT,Room1,yes,Happy,1
H0,Room1,yes,Sad,H0
LG,Room1,yes,Sad,3
MT,Room1,yes,Sad,3
LB,Room1,yes,Sad,1
S1,Room1,yes,Neutral,S1
H0,Room1,yes,Neutral,H0
BU,Room1,yes,Sad,3
PW,Room1,yes,Neutral,1
WB,Room1,yes,Sad,3
H0,Room1,yes,Neutral,H0
BE,Room1,yes,Neutral,3
S1,Room1,yes,Sad,S1
S1,Room1,yes,Sad,S1
PW,Room1,yes,Sad,1
H0,Room1,yes,Happy,H0
H0,Room1,yes,Happy,H0
JE,Room1,yes,Neutral,3
RG,Room1,yes,Happy,2
S1,Room1,yes,Happy,S1
SO,Room1,yes,Sad,2
RO,Room1,yes,Happy,3
LG,Room1,yes,Neutral,3
TO,Room1,yes,Neutral,2
MT,Room1,yes,Happy,3
MC,Room1,yes,Sad,2
NO,Room1,yes,Happy,3
S1,Room1,yes,Happy,S1
RS,Room1,yes,Sad,3
H0,Room1,yes,Sad,H0
S1,Room1,yes,Neutral,S1
RO,Room1,yes,Happy,3
LI,Room1,yes,Neutral,1
LI,Room1,yes,Neutral,1
RG,Room1,yes,Happy,2
UP,Room1,yes,Neutral,1
BU,Room1,yes,Neutral,3
BL,Room1,yes,Neutral,3
RS,Room1,yes,Sad,3
WB,Room1,yes,Neutral,3
ME,Room1,yes,Neutral,1
BP,Room1,yes,Sad,2
LB,Room1,yes,Sad,1
LI,Room1,yes,Neutral,1
RG,Room1,yes,Sad,2
CG,Room1,yes,Happy,2
RG,Room1,yes,Neutral,2
BP,Room1,yes,Neutral,2
SC,Room1,yes,Happy,2
WW,Room1,yes,Happy,2
BU,Room1,yes,Happy,3
CG,Room1,yes,Sad,2
CG,Room1,yes,Happy,2
NN,Room1,yes,Sad,1
H0,Room1,yes,Happy,H0
RS,Room1,yes,Happy,3
TO,Room1,yes,Happy,2
ME,Room1,yes,Happy,1
BU,Room1,yes,Neutral,3
WB,Room1,yes,Neutral,3
LV,Room1,yes,Sad,2
H0,Room1,yes,Sad,H0
PW,Room1,yes,Happy,1
LO,Room1,yes,Sad,3
S1,Room1,yes,Neutral,S1
RG,Room1,yes,Neutral,2
RG,Room1,yes,Happy,2
WB,Room1,yes,Sad,3
BU,Room1,yes,Sad,3
LO,Room1,yes,Sad,3
NN,Room1,yes,Happy,1
AR,Room1,yes,Sad,2
GM,Room1,yes,Sad,2
ME,Room1,yes,Neutral,1
SC,Room1,yes,Sad,2
BU,Room1,yes,Happy,3
AV,Room1,yes,Sad,2
BE,Room1,yes,Happy,3
ME,Room1,yes,Happy,1
LG,Room1,yes,Happy,3
ED,Room1,yes,Happy,1
BT,Room1,yes,Sad,1
LO,Room1,yes,Happy,3
AI,Room1,yes,Neutral,3
NN,Room1,yes,Happy,1
NN,Room1,yes,Sad,1
WE,Room1,yes,Happy,2
CH,Room1,yes,Happy,3
WT,Room1,yes,Happy,1
S1,Room1,yes,Sad,S1
TO,Room1,yes,Sad,2
BP,Room1,yes,Sad,2
MT,Room1,yes,Happy,3
LO,Room1,yes,Happy,3
WY,Room1,yes,Happy,2
AI,Room1,yes,Sad,3
WT,Room1,yes,Neutral,1
S1,Room1,yes,Happy,S1
H0,Room1,yes,Sad,H0
OR,Room1,yes,Neutral,3
ME,Room1,yes,Sad,1
RM,Room1,yes,Happy,3
AI,Room1,yes,Sad,3
LO,Room1,yes,Sad,3
AI,Room1,yes,Happy,3
S1,Room1,yes,Sad,S1
H0,Room1,yes,Happy,H0
NO,Room1,yes,Happy,3
IN,Room1,yes,Neutral,3
MC,Room1,yes,Sad,2
AI,Room1,yes,Sad,3
LV,Room1,yes,Sad,2
AR,Room1,yes,Happy,2
LI,Room1,yes,Happy,1
H0,Room1,yes,Happy,H0
H0,Room1,yes,Neutral,H0
LG,Room1,yes,Sad,3
H0,Room1,yes,Happy,H0
H0,Room1,yes,Neutral,H0
RS,Room1,yes,Happy,3
UP,Room1,yes,Sad,1
AV,Room1,yes,Happy,2
PW,Room1,yes,Happy,1
BL,Room1,yes,Neutral,3
RG,Room1,yes,Sad,2
H0,Room1,yes,Sad,H0
H0,Room1,yes,Sad,H0
LB,Room1,yes,Neutral,1
LB,Room1,yes,Happy,1
NP,Room1,yes,Sad,2
LB,Room1,yes,Sad,1
LB,Room1,yes,Neutral,1
H0,Room1,yes,Neutral,H0
NP,Room1,yes,Neutral,2
MT,Room1,yes,Happy,3
S1,Room1,yes,Sad,S1
LO,Room1,yes,Happy,3
LB,Room1,yes,Sad,1
S1,Room1,yes,Sad,S1
S1,Room1,yes,Sad,S1
IN,Room1,yes,Happy,3
BZ,Room1,yes,Sad,3
NO,Room1,yes,Sad,3
LV,Room1,yes,Sad,2
PW,Room1,yes,Happy,1
H0,Room1,yes,Neutral,H0
SS,Room1,yes,Neutral,2
BE,Room1,yes,Happy,3
S1,Room1,yes,Sad,S1
BZ,Room1,yes,Sad,3
BZ,Room1,yes,Sad,3
BZ,Room1,yes,Sad,3
BZ,Room1,yes,Happy,3
BZ,Room1,yes,Neutral,3
BZ,Room1,yes,Sad,3
BZ,Room1,yes,Happy,3
PW,Room1,yes,Sad,1
LB,Room1,yes,Happy,1
WB,Room1,yes,Happy,3
H0,Room1,yes,Sad,H0
MA,Room1,yes,Happy,3
LO,Room1,yes,Happy,3
ME,Room1,yes,Sad,1
LO,Room1,yes,Sad,3
SO,Room1,yes,Neutral,2
TO,Room1,yes,Happy,2
ME,Room1,yes,Happy,1
PW,Room1,yes,Happy,1
MC,Room1,yes,Happy,2
DA,Room1,yes,Sad,3
BT,Room1,yes,Happy,1
LI,Room1,yes,Sad,1
WT,Room1,yes,Happy,1
S1,Room1,yes,Happy,S1
TO,Room1,yes,Happy,2
H0,Room1,yes,Neutral,H0
RM,Room1,yes,Neutral,3
LI,Room1,yes,Sad,1
PW,Room1,yes,Happy,1
S1,Room1,yes,Happy,S1
PW,Room1,yes,Happy,1
S1,Room1,yes,Happy,S1
H0,Room1,yes,Sad,H0
H0,Room1,yes,Happy,H0
S1,Room1,yes,Neutral,S1
WE,Room1,yes,Neutral,2
RG,Room1,yes,Neutral,2
WR,Room1,yes,Happy,2
H0,Room1,yes,Sad,H0
S1,Room1,yes,Happy,S1
NO,Room1,yes,Happy,3
NO,Room1,yes,Happy,3
ME,Room1,yes,Neutral,1
BP,Room1,yes,Sad,2
BT,Room1,yes,Happy,1
S1,Room1,yes,Happy,S1
SO,Room1,yes,Happy,2
TO,Room1,yes,Neutral,2
S1,Room1,yes,Happy,S1
BE,Room1,yes,Happy,3
WY,Room1,yes,Happy,2
S1,Room1,yes,Neutral,S1
EG,Room1,yes,Happy,3
SC,Room1,yes,Sad,2
S1,Room1,yes,Neutral,S1
BU,Room1,yes,Neutral,3
LB,Room1,yes,Happy,1
S1,Room1,yes,Sad,S1
S1,Room1,yes,Neutral,S1
H0,Room1,yes,Neutral,H0
H0,Room1,yes,Sad,H0
MM,Room1,yes,Happy,3
SO,Room1,yes,Happy,2
UP,Room1,yes,Neutral,1
LG,Room1,yes,Neutral,3
PW,Room1,yes,Happy,1
BZ,Room1,yes,Happy,3
LB,Room1,yes,Sad,1
BZ,Room1,yes,Neutral,3
H0,Room1,yes,Sad,H0
PW,Room1,yes,Neutral,1
CH,Room1,yes,Sad,3
RG,Room1,yes,Happy,2
UP,Room1,yes,Neutral,1
S1,Room1,yes,Sad,S1
TO,Room1,yes,Neutral,2
JE,Room1,yes,Happy,3
S1,Room1,yes,Happy,S1
S1,Room1,yes,Happy,S1
LI,Room1,yes,Happy,1
LB,Room1,yes,Happy,1
IN,Room1,yes,Happy,3
PW,Room1,yes,Neutral,1
ME,Room1,yes,Sad,1
WT,Room1,yes,Neutral,1
LV,Room1,yes,Happy,2
H0,Room1,yes,Happy,H0
LB,Room1,yes,Happy,1
S1,Room1,yes,Neutral,S1
PW,Room1,yes,Neutral,1
ME,Room1,yes,Happy,1
BZ,Room1,yes,Happy,3
S1,Room1,yes,Happy,S1
CH,Room1,yes,Sad,3
AR,Room1,yes,Happy,2
WB,Room1,yes,Happy,3
S1,Room1,yes,Sad,S1
LB,Room1,yes,Sad,1
NO,Room1,yes,Happy,3
UP,Room1,yes,Neutral,1
BU,Room1,yes,Neutral,3
MM,Room1,yes,Neutral,3
DU,Room1,yes,Happy,3
BZ,Room1,yes,Neutral,3
LO,Room1,yes,Happy,3
RG,Room1,yes,Happy,2
LV,Room1,yes,Neutral,2
H0,Room1,yes,Sad,H0
GA,Room1,yes,Sad,2
NO,Room1,yes,Happy,3
PO,Room1,yes,Sad,3
PO,Room1,yes,Happy,3
MC,Room1,yes,Happy,2
WT,Room1,yes,Sad,1
ME,Room1,yes,Sad,1
WY,Room1,yes,Neutral,2
LI,Room1,yes,Sad,1
NP,Room1,yes,Sad,2
RG,Room1,yes,Neutral,2
CH,Room1,yes,Sad,3
JE,Room1,yes,Sad,3
JE,Room1,yes,Sad,3
WB,Room1,yes,Happy,3
S1,Room1,yes,Happy,S1
UP,Room1,yes,Sad,1
BU,Room1,yes,Happy,3
NN,Room1,yes,Happy,1
BU,Room1,yes,Sad,3
NO,Room1,yes,Sad,3
LB,Room1,yes,Neutral,1
PW,Room1,yes,Sad,1
CN,Room1,yes,Happy,2
H0,Room1,yes,Happy,H0
HU,Room1,yes,Sad,3
PW,Room1,yes,Happy,1
WA,Room1,yes,Sad,3
S1,Room1,yes,Sad,S1
RO,Room1,yes,Sad,3
DA,Room1,yes,Happy,3
JE,Room1,yes,Happy,3
S1,Room1,yes,Happy,S1
LB,Room1,yes,Sad,1
LI,Room1,yes,Sad,1
CH,Room1,yes,Happy,3
OR,Room1,yes,Happy,3
LI,Room1,yes,Happy,1
S1,Room1,yes,Sad,S1
SC,Room1,yes,Neutral,2
S1,Room1,yes,Happy,S1
CN,Room1,yes,Sad,2
RO,Room1,yes,Sad,3
RO,Room1,yes,Sad,3
ME,Room1,yes,Neutral,1
WE,Room1,yes,Neutral,2
BU,Room1,yes,Sad,3
S1,Room1,yes,Happy,S1
AR,Room1,yes,Happy,2
S1,Room1,yes,Happy,S1
CH,Room1,yes,Happy,3
RG,Room1,yes,Happy,2
LG,Room1,yes,Neutral,3
PW,Room1,yes,Happy,1
WT,Room1,yes,Neutral,1
LG,Room1,yes,Sad,3
BT,Room1,yes,Sad,1
ME,Room1,yes,Happy,1
S1,Room1,yes,Sad,S1
H0,Room1,yes,Sad,H0
UP,Room1,yes,Sad,1
BL,Room1,yes,Sad,3
RG,Room1,yes,Sad,2
UP,Room1,yes,Happy,1
IN,Room1,yes,Happy,3
H0,Room1,yes,Happy,H0
LG,Room1,yes,Neutral,3
WT,Room1,yes,Neutral,1
PW,Room1,yes,Sad,1
NN,Room1,yes,Happy,1
VO,Room1,yes,Happy,2
LV,Room1,yes,Happy,2
NO,Room1,yes,Neutral,3
CH,Room1,yes,Sad,3
S1,Room1,yes,Happy,S1
DU,Room1,yes,Sad,3
BL,Room1,yes,Happy,3
BE,Room1,yes,Neutral,3
H0,Room1,yes,Neutral,H0
WT,Room1,yes,Happy,1
LB,Room1,yes,Happy,1
CG,Room1,yes,Sad,2
S1,Room1,yes,Happy,S1
BL,Room1,yes,Neutral,3
W1,Room1,yes,Neutral,W1
BU,Room1,yes,Sad,3
NN,Room1,yes,Happy,1
LI,Room1,yes,Sad,1
H0,Room1,yes,Happy,H0
BT,Room1,yes,Happy,1
WB,Room1,yes,Neutral,3
MC,Room1,yes,Neutral,2
BP,Room1,yes,Neutral,2
MM,Room1,yes,Sad,3
CH,Room1,yes,Neutral,3
H0,Room1,yes,Neutral,H0
BL,Room1,yes,Happy,3
RS,Room1,yes,Neutral,3
CH,Room1,yes,Happy,3
IN,Room1,yes,Neutral,3
IN,Room1,yes,Happy,3
MT,Room1,yes,Sad,3
GM,Room1,yes,Sad,2
AI,Room1,yes,Happy,3
PW,Room1,yes,Sad,1
RS,Room1,yes,Neutral,3
GA,Room1,yes,Sad,2
BT,Room1,yes,Neutral,1
H0,Room1,yes,Neutral,H0
OR,Room1,yes,Happy,3
BZ,Room1,yes,Sad,3
UP,Room1,yes,Happy,1
LG,Room1,yes,Happy,3
BE,Room1,yes,Happy,3
ME,Room1,yes,Neutral,1
RG,Room1,yes,Happy,2
S1,Room1,yes,Happy,S1
H0,Room1,yes,Happy,H0
BT,Room1,yes,Neutral,1
CH,Room1,yes,Neutral,3
WT,Room1,yes,Sad,1
NoA,Room1,yes,Sad,2
CH,Room1,yes,Happy,3
WA,Room1,yes,Sad,3
H0,Room1,yes,Happy,H0
ME,Room1,yes,Neutral,1
MT,Room1,yes,Happy,3
TH,Room1,yes,Neutral,2
WB,Room1,yes,Neutral,3
NO,Room1,yes,Happy,3
CL,Room1,yes,Neutral,2
PW,Room1,yes,Happy,1
RO,Room1,yes,Happy,3
BL,Room1,yes,Sad,3
OR,Room1,yes,Happy,3
BU,Room1,yes,Sad,3
PO,Room1,yes,Neutral,3
WT,Room1,yes,Happy,1
PO,Room1,yes,Neutral,3
ED,Room1,yes,Neutral,1
BT,Room1,yes,Happy,1
LB,Room1,yes,Happy,1
LB,Room1,yes,Sad,1
H0,Room1,yes,Sad,H0
BT,Room1,yes,Happy,1
PW,Room1,yes,Happy,1
GR,Room1,yes,Sad,2
WT,Room1,yes,Sad,1
UP,Room1,yes,Neutral,1
RS,Room1,yes,Happy,3
ME,Room1,yes,Neutral,1
S1,Room1,yes,Happy,S1
WY,Room1,yes,Happy,2
S1,Room1,yes,Neutral,S1
NN,Room1,yes,Happy,1
AI,Room1,yes,Sad,3
W1,Room1,yes,Happy,W1
H0,Room1,yes,Sad,H0
BE,Room1,yes,Happy,3
WA,Room1,yes,Sad,3
S1,Room1,yes,Sad,S1
BU,Room1,yes,Happy,3
CH,Room1,yes,Sad,3
CH,Room1,yes,Sad,3
CH,Room1,yes,Sad,3
NN,Room1,yes,Neutral,1
BU,Room1,yes,Happy,3
PO,Room1,yes,Neutral,3
CL,Room1,yes,Sad,2
LV,Room1,yes,Neutral,2
RS,Room1,yes,Neutral,3
LO,Room1,yes,Happy,3
WT,Room1,yes,Sad,1
BP,Room1,yes,Neutral,2
RG,Room1,yes,Sad,2
TO,Room1,yes,Sad,2
AI,Room1,yes,Neutral,3
RG,Room1,yes,Neutral,2
AR,Room1,yes,Neutral,2
MT,Room1,yes,Neutral,3
MA,Room1,yes,Neutral,3
S1,Room1,yes,Neutral,S1
CH,Room1,yes,Sad,3
MM,Room1,yes,Happy,3
ME,Room1,yes,Sad,1
SC,Room1,yes,Happy,2
PW,Room1,yes,Neutral,1
LO,Room1,yes,Neutral,3
CL,Room1,yes,Sad,2
OR,Room1,yes,Neutral,3
AR,Room1,yes,Happy,2
MT,Room1,yes,Sad,3
PW,Room1,yes,Neutral,1
MT,Room1,yes,Happy,3
H0,Room1,yes,Sad,H0
LV,Room1,yes,Sad,2
CL,Room1,yes,Neutral,2
ED,Room1,yes,Sad,1
WT,Room1,yes,Sad,1
SC,Room1,yes,Happy,2
UP,Room1,yes,Sad,1
UP,Room1,yes,Happy,1
BE,Room1,yes,Sad,3
S1,Room1,yes,Sad,S1
BZ,Room1,yes,Sad,3
TO,Room1,yes,Sad,2
LB,Room1,yes,Happy,1
S1,Room1,yes,Sad,S1
BP,Room1,yes,Neutral,2
PW,Room1,yes,Sad,1
MT,Room1,yes,Sad,3
WT,Room1,yes,Sad,1
LB,Room1,yes,Happy,1
BE,Room1,yes,Happy,3
BL,Room1,yes,Sad,3
LI,Room1,yes,Neutral,1
H0,Room1,yes,Happy,H0
JE,Room1,yes,Happy,3
PW,Room1,yes,Neutral,1
LB,Room1,yes,Happy,1
LV,Room1,yes,Happy,2
PO,Room1,yes,Happy,3
PO,Room1,yes,Happy,3
WE,Room1,yes,Sad,2
NN,Room1,yes,Happy,1
H0,Room1,yes,Happy,H0
BP,Room1,yes,Sad,2
WB,Room1,yes,Happy,3
WB,Room1,yes,Neutral,3
IN,Room1,yes,Happy,3
VO,Room1,yes,Happy,2
VO,Room1,yes,Happy,2
CH,Room1,yes,Happy,3
LB,Room1,yes,Neutral,1
CL,Room1,yes,Happy,2
LO,Room2,yes,Happy,3
UP,Room2,yes,Sad,1
H0,Room2,yes,Neutral,H0
H0,Room2,yes,Sad,H0
LG,Room2,yes,Neutral,3
NN,Room2,yes,Neutral,1
WA,Room2,yes,Sad,3
ME,Room2,yes,Happy,1
AL,Room2,yes,Sad,3
GM,Room2,yes,Neutral,2
PW,Room2,yes,Happy,1
H0,Room2,yes,Neutral,H0
W1,Room2,yes,Sad,W1
BT,Room2,yes,Sad,1
RO,Room2,yes,Happy,3
H0,Room2,yes,Neutral,H0
NN,Room2,yes,Sad,1
AL,Room2,yes,Happy,3
MA,Room2,yes,Happy,3
AI,Room2,yes,Sad,3
NN,Room2,yes,Sad,1
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
HE,Room2,yes,Neutral,2
UP,Room2,yes,Sad,1
H0,Room2,yes,Happy,H0
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
RS,Room2,yes,Sad,3
JE,Room2,yes,Happy,3
CN,Room2,yes,Neutral,2
H0,Room2,yes,Happy,H0
H0,Room2,yes,Neutral,H0
RS,Room2,yes,Happy,3
H0,Room2,yes,Happy,H0
AL,Room2,yes,Sad,3
NN,Room2,yes,Happy,1
LI,Room2,yes,Happy,1
ED,Room2,yes,Neutral,1
BU,Room2,yes,Happy,3
H0,Room2,yes,Sad,H0
MT,Room2,yes,Sad,3
DA,Room2,yes,Happy,3
BL,Room2,yes,Happy,3
MT,Room2,yes,Neutral,3
LI,Room2,yes,Happy,1
EG,Room2,yes,Sad,3
WA,Room2,yes,Sad,3
EG,Room2,yes,Happy,3
ED,Room2,yes,Happy,1
EG,Room2,yes,Happy,3
PO,Room2,yes,Sad,3
H0,Room2,yes,Sad,H0
HU,Room2,yes,Sad,3
NN,Room2,yes,Neutral,1
AL,Room2,yes,Happy,3
CN,Room2,yes,Neutral,2
H0,Room2,yes,Happy,H0
AL,Room2,yes,Neutral,3
ED,Room2,yes,Neutral,1
LB,Room2,yes,Happy,1
S1,Room2,yes,Sad,S1
MT,Room2,yes,Neutral,3
LV,Room2,yes,Sad,2
BU,Room2,yes,Happy,3
MT,Room2,yes,Sad,3
NN,Room2,yes,Sad,1
H0,Room2,yes,Happy,H0
EG,Room2,yes,Sad,3
S1,Room2,yes,Happy,S1
H0,Room2,yes,Sad,H0
WA,Room2,yes,Neutral,3
UP,Room2,yes,Sad,1
BL,Room2,yes,Sad,3
WE,Room2,yes,Happy,2
EG,Room2,yes,Neutral,3
H0,Room2,yes,Sad,H0
H0,Room2,yes,Happy,H0
UP,Room2,yes,Neutral,1
MT,Room2,yes,Sad,3
DA,Room2,yes,Sad,3
CN,Room2,yes,Sad,2
CN,Room2,yes,Happy,2
JE,Room2,yes,Sad,3
NN,Room2,yes,Neutral,1
MT,Room2,yes,Sad,3
CN,Room2,yes,Happy,2
H0,Room2,yes,Happy,H0
HE,Room2,yes,Happy,2
MC,Room2,yes,Neutral,2
H0,Room2,yes,Sad,H0
HE,Room2,yes,Neutral,2
LB,Room2,yes,Sad,1
