Age,Brightness,Temperature,Humidity,Meal Carbs,Meal Calories,Meal Protain,Expense
48,9.62,63.89,79.38,23.9,477.94,1.0118,20.92050209
56.1,6.53,66.3,78.46,26.6,443.77,1.147,18.79699248
45.1,12.86,60.15,79.198,22.5,442.72,1.0376,22.22222222
56.8,8.44,61.21,79.03,22.2,374.76,1.4302,22.52252252
86.3,5.5,70.07,79.38,23.6,342.17,1.132,21.18644068
63.1,5.7,70.79,79.212,28.7,341.45,1.0604,17.42160279
66.1,8.81,64.17,78.436,22.6,309.23,0.9368,22.12389381
73.9,8.2,64.05,78.71,22,309.21,0.7864,22.72727273
53.6,8.16,64.42,79.002,22.9,366.59,0.8406,21.83406114
28.9,6.21,62.11,79.266,25,366.59,0.575,20
77.3,10.59,62.49,79.38,20.6,361.5,0.8588,24.27184466
57.8,6.65,66.25,71.596,28.4,349.52,2.4408,17.6056338
69.6,11.34,61.63,78.366,21.4,349.52,2.3008,23.36448598
76,4.21,80.69,79.38,38.7,349.52,2.4166,12.91989664
36.9,3.57,78.2,78.706,43.8,349.52,1.6374,11.41552511
62.5,6.19,74.16,79.38,33.2,349.52,1.372,15.06024096
79.9,9.42,67.27,78.952,27.5,277.78,2.9732,18.18181818
71.3,7.67,67.81,79.116,26.5,285.61,2.2864,18.86792453
85.4,10.63,64.05,14.16,18.6,271.47,4.5752,26.88172043
87.4,13.44,61.37,78.894,19.3,271.47,4.2322,25.90673575
90,12.33,61.67,78.538,20.1,242.1,2.792,24.87562189
96.7,16.47,58.51,78.81,19.5,210.69,2.6524,25.64102564
91.9,18.66,58.36,79.134,19.5,221.1,3.424,25.64102564
85.2,14.09,61.27,77.538,20.4,212.24,2.6234,24.50980392
97.1,12.27,64.74,79.048,19.8,243.29,2.5604,25.25252525
91.2,15.55,62.29,78.246,19.4,254.51,5.2726,25.77319588
54.4,13,61.95,78.698,21.7,277.78,2.1586,23.04147465
81.6,10.16,67.15,79.118,22.8,267.75,2.0168,21.92982456
92.9,16.21,59.13,78.99,18.8,235.34,2.4658,26.59574468
95.4,17.09,60.92,79.38,18.7,254.8,4.4424,26.73796791
84.2,10.45,62.54,77.748,18.5,225.65,2.8462,27.02702703
88.2,15.76,59.28,68.982,18.3,246.31,3.4268,27.32240437
72.5,12.04,61.76,78.66,21.2,273.01,2.6316,23.58490566
82.6,10.3,60.21,78.902,19.2,274.74,3.0196,26.04166667
73.1,15.37,58.72,67.726,20.4,247.75,2.6116,24.50980392
65.2,13.61,57.31,78.3,19.3,275.92,2.8952,25.90673575
69.7,14.37,58.7,77.83,22,225.77,1.3798,22.72727273
84.1,14.27,60.04,75.534,20.3,219.74,1.433,24.63054187
92.9,17.93,59.61,75.618,20.5,208.69,1.8598,24.3902439
97,25.41,58.56,74.062,17.3,194.44,3.0076,28.9017341
95.8,17.58,58.79,75.876,18.8,200.63,1.9698,26.59574468
88.4,14.81,59.86,77.004,21.4,199.29,3.3804,23.36448598
95.6,27.26,56.13,71.858,15.7,175.72,7.747,31.84713376
96,17.19,56.93,78.422,16.2,178.83,5.183,30.86419753
98.8,15.39,64.31,79.38,18,181.25,6.5086,27.77777778
94.7,18.34,56.37,79.38,14.3,197.99,17.625,34.96503497
98.9,12.6,64.58,79.008,19.2,211.85,6.8012,26.04166667
97.7,12.26,63.26,79.38,19.6,227.1,23.8588,25.51020408
97.9,11.12,63.72,77.152,23,232.74,11.801,21.73913043
95.4,15.03,58.22,77.738,18.4,246.99,6.5964,27.17391304
98.4,17.31,57.57,52.552,15.6,234.6,19.5234,32.05128205
98.2,16.96,63.35,78.934,18.1,211.07,11.1556,27.62430939
93.5,16.9,59.42,75.65,17.4,196.69,6.4528,28.73563218
98.4,14.59,64.54,78.816,17.1,184.98,7.0466,29.23976608
98.2,21.32,58.57,78.408,13.3,166.86,4.996,37.59398496
97.9,18.46,61.51,79.38,17.8,166.87,10.8904,28.08988764
93.6,24.16,61.74,77.616,14,161.19,5.818,35.71428571
100,34.41,50.19,79.38,14.4,143.94,32.5728,34.72222222
100,26.82,54.03,79.38,13.4,132.16,66.421,37.31343284
100,26.42,54.68,79.38,15.6,141.18,81.948,32.05128205
97.8,29.29,49.03,79.38,11.8,134.59,55.5948,42.37288136
100,27.8,61.3,34.582,13.8,141.91,47.5868,36.23188406
100,16.65,56.28,33.854,15.6,151.66,43.101,32.05128205
95.7,29.53,49.26,78.342,14.6,146.08,47.3724,34.24657534
93.8,28.32,51.86,71.398,17.8,152.96,46.6198,28.08988764
94.9,21.45,55.97,70.37,15.4,152.57,54.6794,32.46753247
97.3,14.1,61.22,74.56,21.5,161.8,33.132,23.25581395
100,13.28,54.04,68.32,19.6,159.16,29.9264,25.51020408
88,12.12,50.12,68.656,15.3,161.02,22.5316,32.67973856
98.5,15.79,57.09,52.39,19.4,162.32,42.9836,25.77319588
96,15.12,61.29,64.204,17,174.94,28.277,29.41176471
82.6,15.02,61.52,17.602,15.6,174.55,70.7002,32.05128205
94,16.14,52.72,17.726,13.1,173.64,48.9336,38.16793893
97.4,4.59,69.43,72.686,41.3,187.73,24.4716,12.10653753
100,6.43,60.66,70.778,24.3,175.73,26.8568,20.57613169
100,7.39,65.1,72.862,23.3,176.59,28.5004,21.45922747
92.6,5.5,62.5,67.784,27,179.84,25.4692,18.51851852
90.8,1.73,74.89,74.886,50,197.09,29.2672,10
98.2,1.92,78.02,77.922,50,204.07,36.6754,10
93.9,3.32,83.75,77.69,50,216.2,30.3804,10
91.8,11.64,58.54,79.022,22.7,242.2,44.8472,22.02643172
93,9.81,61.01,48.032,25,228.34,58.48,20
96.2,3.7,79.29,73.86,50,204.59,40.2038,10
79.2,12.14,58.77,45.522,23.8,242.59,36.0056,21.00840336
96.1,11.1,63.19,59.418,23.8,210,46.008,21.00840336
95.2,11.32,64.02,66.008,22.3,226.25,48.9906,22.42152466
94.6,14.43,58.75,58.458,17.4,242.59,24.1484,28.73563218
97.3,12.03,58.8,69.626,19.1,238.87,46.278,26.17801047
88.5,14.69,55.72,79.38,23.1,259.61,2.7828,21.64502165
84.1,9.04,64.16,79.1,23.6,264.63,1.8356,21.18644068
68.7,9.64,58.59,78.646,22.6,270.19,1.6894,22.12389381
33.1,5.33,65.46,78.192,29.4,313.23,1.3328,17.00680272
47.2,10.11,60.2,78.646,23.2,355.49,1.4044,21.55172414
73.4,6.29,63.15,79.12,24.6,331.75,1.085,20.32520325
74.4,6.92,68.6,78.254,29.9,291.53,1.3284,16.72240803
58.4,5.04,69.8,79.38,37.2,282.9,1.156,13.44086022
83.3,7.56,77.65,79.112,39.8,274.1,1.3176,12.56281407
62.2,9.45,61.44,79.38,36.2,259.79,1.3776,13.8121547
92.2,4.82,71.55,78.824,37.9,270.06,1.8206,13.19261214
95.6,5.68,65.63,79.38,32.5,284.7,2.0016,15.38461538
89.8,13.98,56.04,78.2,26.4,298.79,1.6616,18.93939394
68.8,13.15,61.53,77.422,29.6,327.97,1.2094,16.89189189
53.6,4.45,78.31,78.526,50,319.92,1.1204,10
41.1,6.68,67.82,78.774,32,378.86,1.575,15.625
29.1,4.56,65.56,76.568,29.8,456.67,2.5158,16.77852349
38.9,5.39,71.85,79.38,34.9,456.67,1.674,14.32664756
21.5,5.1,69.51,75.536,37,647.98,1.8136,13.51351351
30.8,4.69,67.39,77.942,30.5,647.98,1.3822,16.39344262
26.3,2.87,71.78,78.098,36.4,647.98,1.7328,13.73626374
9.9,5.03,68,78.674,31.1,621.96,0.4374,16.07717042
18.8,4.38,66.04,75.34,29.1,621.96,0.2878,17.18213058
32,2.97,78.75,78.846,50,564.84,0.2762,10
34.1,4.08,72.87,79.38,33.3,730.9,0.8022,15.01501502
36.6,8.61,71.07,70.862,30.3,730.9,0.9332,16.50165017
38.3,6.62,72.74,78.44,34.6,730.9,0.7536,14.45086705
15.3,4.56,69.75,79.38,34.9,765.34,0.63,14.32664756
13.9,4.45,71.35,76.86,32.9,765.34,0.3556,15.19756839
38.4,7.43,61.62,78.754,24.1,627,0.689,20.74688797
15.7,3.11,76.1,79.076,42.3,627,0.4354,11.82033097
33.2,3.81,78.53,78.556,48.5,511.8,0.702,10.30927835
31.9,2.88,80.34,78.11,50,511.8,0.4018,10
22.3,10.87,58.91,79.38,22.6,394.54,2.7284,22.12389381
52.5,10.97,63.26,78.974,24.4,435.49,4.5938,20.49180328
72.7,18.06,57.83,77.886,22.5,435.49,5.0398,22.22222222
59.1,14.66,60.64,76.264,24.4,423.92,2.7174,20.49180328
100,23.09,53.44,79.38,20,387.5,8.7142,25
92.1,17.27,59.6,78.65,21.7,387.71,3.4892,23.04147465
88.6,23.98,54.04,79.048,19.3,366.5,7.5156,25.90673575
53.8,16.03,58.07,78.188,22.4,365.26,4.3438,22.32142857
32.3,9.38,63.75,77.162,28.1,394.54,2.8104,17.79359431
9.8,29.55,54.12,69.786,23.7,358.75,5.791,21.09704641
42.4,9.47,61.82,78.726,25,394.54,3.9604,20
56,13.51,58.88,78.56,23.3,311.21,0.912,21.45922747
85.1,9.69,66.42,78.556,28.7,342.11,1.4026,17.42160279
93.8,17.92,59.51,79.38,21.5,288.93,2.2138,23.25581395
92.4,10.5,63.73,78.748,23,336.33,2.285,21.73913043
88.5,9.71,69.51,78.34,26.7,286.17,7.1618,18.72659176
91.3,21.46,61.64,79.048,21.7,304.8,8.1542,23.04147465
77.7,9.93,68.79,78.078,27.5,327.21,12.4712,18.18181818
80.8,7.6,66.18,79.38,30.1,327.21,12.294,16.61129568
78.3,4.14,82.66,77.01,44.8,289.44,6.3066,11.16071429
83,4.63,87.25,76.4,50,289.44,10.5386,10
86.5,3.13,80.4,77.476,37.6,321.57,7.6428,13.29787234
79.9,6.36,71.63,74.416,31.6,321.57,8.2476,15.82278481
17,3.92,76.86,75.502,46.7,337.51,5.9638,10.70663812
21.4,3.76,65.52,76.068,31.5,337.51,8.8356,15.87301587
68.1,11.65,59.81,75.67,24.3,367.15,10.74,20.57613169
76.9,5.25,74.12,75.228,31.7,367.15,9.2592,15.77287066
73.3,2.47,83.37,77.182,41.7,383.84,11.5058,11.99040767
70.4,3.95,82.47,75.79,48.3,365.19,6.6294,10.35196687
66.5,8.05,67.26,72.04,29,365.19,8.9582,17.24137931
61.5,10.88,60.86,75.35,24,365.19,6.609,20.83333333
76.5,9.54,66.31,77.69,25.1,414.8,10.4116,19.92031873
71.6,4.73,73.58,78.014,31.5,414.8,10.2366,15.87301587
18.5,6.36,64.81,75.882,23.7,618.99,1.6488,21.09704641
42.2,7.37,66.06,76.756,23.3,618.99,1.8504,21.45922747
54.3,11.38,68.97,78.25,22,633.61,2.2658,22.72727273
65.1,12.4,60.95,78.924,20.1,633.61,2.1224,24.87562189
52.9,11.22,63.58,74.55,22.2,703.55,2.058,22.52252252
7.8,5.19,63.93,74.942,23.7,703.55,2.5514,21.09704641
76.5,12.5,55.93,74.498,17.6,795.49,4.1216,28.40909091
70.2,18.46,56.05,77.826,18.5,795.49,3.8266,27.02702703
34.9,9.16,61.08,78.036,24.3,805.55,6.7966,20.57613169
79.2,10.15,62.26,75.228,20.5,805.55,3.9314,24.3902439
49.1,9.52,64.33,74.942,24.5,782.65,3.2878,20.40816327
17.5,6.56,67.18,78.748,26.2,782.65,3.8146,19.08396947
13,5.9,64.87,79.256,24.4,739.67,2.806,20.49180328
8.9,3.59,64.38,75.414,24.8,739.67,4.2818,20.16129032
6.8,3.53,69.57,77.218,29.6,890.67,1.6442,16.89189189
8.4,3.54,82.59,79.38,42.8,890.67,7.3788,11.68224299
32,6.57,61.08,78.578,21.9,922.03,0.9638,22.83105023
19.1,9.25,58.76,79.036,20.9,922.03,0.7096,23.92344498
34.2,3.11,74.54,77.268,44,633.61,0.3076,11.36363636
86.9,5.12,87.04,77.94,50,180.1,12.2308,10
100,7.79,73.33,76.658,36,189.46,13.2702,13.88888889
100,6.9,68.42,78.386,30.1,201.07,13.133,16.61129568
81.8,9.59,72.03,78.56,33.8,211.21,10.8022,14.79289941
89.4,7.26,75.2,77.674,43.1,213.98,10.6824,11.60092807
91.5,5.91,83.98,77.372,48.8,228.85,10.4028,10.24590164
94.5,11.25,73.27,78.684,31,207.88,16.5052,16.12903226
91.6,8.1,72.06,77.578,36.5,193.01,11.0014,13.69863014
62.8,10.45,55.6,78.48,22.8,198.65,15.2324,21.92982456
84.6,14.79,70.14,76.814,30.7,213.29,15.714,16.28664495
67,7.44,82.97,76.908,50,242.16,11.5668,10
52.6,3.16,74.7,78.06,43.5,287.2,10.81,11.49425287
61.5,13.65,59.2,78.268,20.7,391.75,1.813,24.15458937
42.1,13,58.56,77.73,21.1,442.9,5.9832,23.69668246
16.3,6.59,62.4,79.38,25.2,442.9,3.2422,19.84126984
58.7,7.73,65.38,78.992,24.4,391.75,2.292,20.49180328
51.8,6.58,76.91,78.154,35.2,436.65,4.4376,14.20454545
32.9,3.53,67.58,79.38,32.4,407.76,1.1288,15.43209877
42.8,2.98,68.54,79.38,32,426.73,1.9208,15.625
49,6.05,72.67,77.85,33.2,478.72,2.0938,15.06024096
27.6,4.16,68.26,78.69,33.1,486.28,1.2254,15.10574018
32.1,7.19,64.82,79.38,29.1,414.03,1.5956,17.18213058
32.2,4.85,68.12,79.38,35.1,410.07,4.2076,14.24501425
64.5,3.76,78.2,77.462,45.4,469.47,0.7156,11.01321586
37.2,4.59,69.68,78.446,35.4,524.47,0.741,14.12429379
49.7,3.01,76.45,75.414,46,521.19,1.2258,10.86956522
24.8,3.16,79.23,79.104,50,588.5,0.3002,10
20.8,7.85,70.88,78.944,32.2,730.73,0.1812,15.52795031
31.9,8.23,64.53,78.944,22,730.73,0.2192,22.72727273
31.5,12.93,62.3,68.32,20.1,908.92,0.393,24.87562189
31.3,7.14,62.09,79.38,23.2,731.72,0.7742,21.55172414
45.6,7.6,63.15,79.38,22.3,731.72,0.918,22.42152466
22.9,9.51,65.65,74.344,24.8,731.72,0.8594,20.16129032
27.9,3.33,68.61,79.38,28.5,511.67,0.7004,17.54385965
27.7,3.56,71.48,79.38,37.3,511.67,1.5772,13.40482574
23.4,4.7,66.3,79.38,27.9,511.67,0.723,17.92114695
18.4,8.58,61.27,79.38,23.9,550.27,1.653,20.92050209
42.3,10.4,60.09,79.38,21.7,550.27,1.6398,23.04147465
31.1,6.27,66.78,79.38,28.6,596.04,2.5864,17.48251748
51,7.39,65.49,78.57,27.1,596.04,1.0744,18.4501845
58,15.84,57.9,79.38,20.3,632,2.8206,24.63054187
20.1,4.97,63.45,73.648,22.5,782.78,1.2932,22.22222222
10,4.74,70.41,74.316,29,782.78,1.1122,17.24137931
47.4,6.07,68.71,78.172,24.8,782.78,0.8834,20.16129032
40.4,9.5,65.9,79.15,22,549.17,0.7074,22.72727273
18.4,8.67,64.95,76.722,26.4,549.17,1.8532,18.93939394
17.7,4.86,69.82,78.086,33.1,549.17,2,15.10574018
41.1,6.93,72.36,78.736,36.1,402.2,1.103,13.85041551
58.1,8.93,66.16,78.672,28.4,337,1.0958,17.6056338
71.9,6.47,74.2,79.38,33.4,309.92,1.5006,14.97005988
70.3,7.53,68.49,79.38,28.2,318.27,0.9864,17.73049645
82.5,4.54,66.35,79.38,22.8,331.75,9.8596,21.92982456
76.7,9.97,59.72,79.248,20.3,310.25,6.988,24.63054187
37.8,12.64,49.73,70.09,16.1,251.94,52.7096,31.05590062
52.8,5.98,61.22,79.38,22.1,264.03,15.8082,22.62443439
90.4,11.72,60.23,79.26,19.4,283.4,5.2338,25.77319588
82.8,7.9,62.66,78.678,21.6,326.28,5.3876,23.14814815
87.3,9.28,65.67,79.138,23.8,360.23,7.384,21.00840336
77.7,11.5,57.05,79.284,16.2,394.5,5.0712,30.86419753
83.2,18.33,59.14,78.14,17.8,399.86,6.3654,28.08988764
71.7,15.94,57.82,79.38,19.8,403.17,4.9044,25.25252525
67.2,10.36,63.82,79.042,23.1,353.25,8.0404,21.64502165
58.8,12.73,61.13,79.246,21,400.19,9.5094,23.80952381
52.3,7.2,64.26,79.38,23.8,454.04,3.352,21.00840336
54.3,6.87,63.76,79.38,23.1,454.04,3.6318,21.64502165
49.9,7.7,60.41,79.38,20.4,472.11,7.0228,24.50980392
74.3,11.74,57.08,78.226,18.5,472.11,5.6784,27.02702703
40.1,6.12,64.15,79.38,25,472.11,6.8218,20
14.7,5.08,64.31,78.736,24.6,541.59,3.8372,20.32520325
28.9,6.15,63.12,79.38,23,541.59,6.0694,21.73913043
43.7,12.79,60.83,79.38,22.2,541.59,4.8206,22.52252252
25.8,9.97,58.68,76.488,19.3,521.46,1.3234,25.90673575
17.2,7.34,63.33,75.042,22.6,521.46,1.3448,22.12389381
32.2,9.09,61.44,73.714,19.8,587.36,0.9088,25.25252525
28.4,12.43,57.06,78.804,17.1,664.07,1.0046,29.23976608
23.3,7.83,60.31,72.45,19.4,664.07,0.6932,25.77319588
38.1,5.68,63.16,77.942,22.2,645.84,1.0166,22.52252252
38.5,6.75,63.1,77.88,20.7,645.84,0.7476,24.15458937
34.5,8.01,60.37,79.38,21.1,598.53,0.7922,23.69668246
46.3,9.8,58.69,79.38,19.5,523.11,0.6854,25.64102564
59.6,10.56,58.95,78.962,18.5,561.5,0.6082,27.02702703
37.3,8.51,60.59,79.228,20.6,481.22,0.6612,24.27184466
45.4,9.74,59.85,79.38,19,481.22,1.0994,26.31578947
58.5,9.29,59.68,79.38,18.7,481.22,1.2302,26.73796791
49.3,5.49,72.41,78.948,32.7,703.79,0.2602,15.29051988
59.7,8.65,65.4,77.992,16.5,626.69,0.4996,30.3030303
56.4,7.18,66.96,79.38,23.9,573.21,0.5086,20.92050209
28.1,4.61,68.74,77.594,31.2,646.54,0.6098,16.02564103
48.5,10.53,60.14,77.128,17.5,801.36,0.6226,28.57142857
52.3,12.67,58.98,72.922,17.2,801.36,1.2324,29.06976744
27.7,6.36,65.16,78.486,23.1,853.53,0.374,21.64502165
29.7,5.99,66.35,78.188,24.5,834.4,0.3002,20.40816327
34.5,5.89,69.39,77.97,26.6,879.21,0.5798,18.79699248
44.4,5.98,64.9,79.38,22.9,879.21,1.2422,21.83406114
35.9,5.49,65.79,74.156,24.1,1071.03,1.59,20.74688797
18.5,7.79,58.84,78.466,18.6,1071.03,1.4488,26.88172043
36.1,4.5,67.28,76.892,30.1,1212.65,0.3418,16.61129568
21.9,8.05,56.63,76.56,18.2,1058.57,0.8602,27.47252747
19.5,5.57,59.36,75.208,20.6,1058.57,2.1318,24.27184466
97.4,17.6,62.12,75.546,17.8,212.22,179.6592,28.08988764
91,13.27,63.95,78.268,21.7,250.52,76.994,23.04147465
83.4,11.48,61.27,79.086,22.7,272.27,104.0354,22.02643172
81.3,12.67,61.12,78.148,22.6,250.91,85.2262,22.12389381
88,7.79,63.98,74.912,25,251.82,90.8384,20
91.1,14.19,62.51,70.13,19.9,229.55,76.7368,25.12562814
96.2,10.19,53.62,76.158,20.8,210.36,73.5644,24.03846154
89,14.64,58.03,70.608,16.8,190.47,84.4478,29.76190476
82.9,5.29,87.8,70.91,21.9,190.47,69.4856,22.83105023
87.9,7.12,35.61,70.94,27.5,161.32,91.1174,18.18181818
91.4,14,49.63,63.206,21.9,175.23,73.939,22.83105023
100,13.33,38.63,26.284,23.1,151.06,270.444,21.64502165
100,3.26,49.7,75.104,50,133.25,97.9644,10
96.8,3.73,66.83,75.066,50,135.67,113.3996,10
97.5,2.96,70.16,78.41,50,120.24,130.7752,10
100,9.53,62.16,73.23,50,116.91,184.646,10
89.6,8.88,58.75,69.576,50,112.96,165.345,10
100,34.77,49.06,79.38,13.8,117.42,222.162,36.23188406
100,37.97,41.38,79.38,13.8,113.7,369.964,36.23188406
97.9,13.44,73.13,79.38,15,131.63,392.182,33.33333333
93.3,23.24,66.49,72.604,13.9,134.49,305.76,35.97122302
98.8,21.24,67.94,79.38,13.3,135.8,196.4698,37.59398496
96.2,23.69,63.8,79.38,13.1,138.61,472.964,38.16793893
100,21.78,62.23,78.748,10.2,138.61,357.334,49.01960784
91.9,17.21,69.68,79.38,10.4,141.65,179.524,48.07692308
99.1,21.08,65.45,79.38,10.9,151.92,317.488,45.87155963
100,23.6,55.36,79.38,11.3,158.04,183.7404,44.24778761
100,24.56,55.2,79.38,12.3,153.31,159.8496,40.6504065
91.2,30.63,43.68,57.166,8.8,143.95,401.698,56.81818182
98.1,30.81,52.77,79.38,7.2,142.61,336.236,69.44444444
100,28.28,46.52,79.38,10.5,146.72,487.876,47.61904762
89.5,31.99,50,79.38,7.4,151.84,451.942,67.56756757
100,30.62,48.8,74.584,10.2,158.95,286.674,49.01960784
98.9,20.85,53.9,79.38,11.5,172.81,163.0348,43.47826087
97,17.11,57.13,78.886,15.1,192.65,139.243,33.11258278
82.5,18.76,60.51,75.676,23.2,216.78,105.861,21.55172414
97,25.68,50.36,79.38,9.7,177,231.558,51.54639175
92.6,15.17,61.93,79.38,13.8,179.12,172.8952,36.23188406
94.7,16.35,58.87,79.38,12.7,178.21,267.196,39.37007874
98.8,17.12,64.71,78.396,13.1,172.57,174.335,38.16793893
96,19.37,64.05,79.38,12.5,167.68,117.441,40
98.9,19.92,57.47,78.62,8.5,163.34,153.4404,58.82352941
100,30.59,54.53,79.38,5,148.96,77.036,100
77.8,29.97,58.52,67.632,6.3,150.04,198.331,79.36507937
100,26.77,59.87,79.38,5.6,158.88,500.922,89.28571429
100,20.32,63.43,79.38,7.2,157.41,284.724,69.44444444
100,20.31,64.04,75.222,12.1,163.9,191.9142,41.32231405
96,19.77,53.49,79.38,8.3,170.28,496.034,60.24096386
85.4,27.38,55.31,65.892,8.5,160.74,83.584,58.82352941
100,22.98,56.83,76.994,5,142.54,138.416,100
100,23.34,41.38,74.044,11.9,117.81,414.324,42.01680672
100,12.13,56.08,66.418,27.9,128.52,239.022,17.92114695
97.9,26.4,56.17,62.928,17.2,145.47,148.0778,29.06976744
100,19.78,68.52,35.872,27.5,146.55,288.766,18.18181818
100,10.11,57.57,0.52,15,141.3,122.716,33.33333333
100,21.22,66.57,7.01,17.2,152.75,281.014,29.06976744
100,34.37,46.28,5.758,17.9,155.39,376.22,27.93296089
100,20.08,51.55,42.194,16.3,158.94,73.116,30.67484663
100,36.98,45.19,17.654,7,165.82,14.922,71.42857143
